2013-09-17, 82394, 102132, 119879
2013-09-18, 83298, 102367, 119970
2013-09-19, 83319, 103022, 120063
2013-09-20, 83352, 103576, 120147
2013-09-21, 83218, 103358, 120526
2013-09-22, 82622, 102812, 120555
2013-09-23, 82047, 102323, 120064
2013-09-24, 83105, 102459, 120150
2013-09-25, 84044, 102665, 120214
2013-09-26, 84149, 103401, 120275
2013-09-27, 84091, 103966, 120362
2013-09-28, 83972, 103825, 120785
2013-09-29, 83180, 103229, 120820
2013-09-30, 82513, 102638, 120220
2013-10-01, 83572, 102863, 120306
2013-10-02, 84546, 103138, 120421
2013-10-03, 84932, 103857, 120744
2013-10-04, 84764, 104424, 120938
2013-10-05, 84588, 104320, 121391
2013-10-06, 83190, 103806, 121385
2013-10-07, 82548, 103309, 120877
2013-10-08, 83694, 103674, 121119
2013-10-09, 84601, 104014, 121241
2013-10-10, 84548, 104687, 121313
2013-10-11, 84579, 105266, 121466
2013-10-12, 84339, 105135, 121847
2013-10-13, 83629, 104525, 121846
2013-10-14, 83022, 103992, 121297
2013-10-15, 83987, 104218, 121410
2013-10-16, 84841, 104401, 121487
2013-10-17, 84808, 105073, 121601
2013-10-18, 84886, 105718, 121788
2013-10-19, 84651, 105554, 122155
2013-10-20, 83865, 104992, 122109
2013-10-21, 83305, 104509, 121545
2013-10-22, 84304, 104808, 121732
2013-10-23, 85125, 104938, 121816
2013-10-24, 85275, 105703, 121890
2013-10-25, 85055, 106199, 121857
2013-10-26, 84841, 106065, 122271
2013-10-27, 83987, 105410, 122208
2013-10-28, 83311, 104914, 121706
2013-10-29, 84286, 105049, 121799
2013-10-30, 85166, 105210, 121891
2013-10-31, 85074, 105870, 121991
2013-11-01, 84904, 106393, 122054
2013-11-02, 84618, 106414, 122392
2013-11-03, 83886, 105726, 122378
2013-11-04, 83225, 105104, 121874
2013-11-05, 84202, 104649, 122098
2013-11-06, 85045, 104778, 122202
2013-11-07, 85050, 105469, 122375
2013-11-08, 84994, 106053, 122522
2013-11-09, 84747, 105780, 122885
2013-11-10, 83962, 105246, 122870
2013-11-11, 83343, 104643, 122373
2013-11-12, 84306, 104795, 122446
2013-11-13, 85203, 104998, 122548
2013-11-14, 85293, 105662, 122684
2013-11-15, 85203, 106149, 122723
2013-11-16, 84952, 105895, 123128
2013-11-17, 84239, 105343, 123150
2013-11-18, 83678, 104776, 122658
2013-11-19, 84889, 105105, 122986
2013-11-20, 85793, 105363, 123163
2013-11-21, 85842, 106026, 123374
